ano;idade;genero;inde_22;inde_23;inde_24;iaa;ieg;ips;ida;ipv;ian;ipp;fase_ideal;defasagem;risco
2022;16;1;7.28;;;8.8;7.7;7.5;7.2;8.0;2.5;;6;-3;1
2022;15;1;6.62;;;7.9;7.7;7.5;4.5;6.88;5.0;;5;-2;1
2022;13;0;7.83;;;8.3;8.5;7.5;6.6;7.5;10.0;;3;0;0
2022;12;0;7.93;;;8.8;8.9;7.5;5.8;7.92;10.0;;3;0;0
2022;14;1;5.31;;;0.0;6.1;7.5;2.7;7.58;5.0;;4;-1;1
2022;14;1;7.63;;;10.0;9.7;5.0;7.2;7.33;5.0;;4;-1;1
2022;13;0;7.34;;;6.7;6.9;8.8;6.3;7.25;10.0;;3;0;0
2022;13;1;8.74;;;10.0;9.4;8.8;7.2;8.5;10.0;;3;0;0
2022;15;1;4.93;;;8.8;3.6;7.5;2.7;4.71;5.0;;5;-2;1
2022;12;1;8.15;;;9.2;8.9;5.6;6.7;8.5;10.0;;3;0;0
2022;14;0;4.26;;;0.0;6.2;5.0;3.2;3.75;5.0;;4;-1;1
2022;13;0;8.02;;;8.8;9.2;5.0;6.3;8.25;10.0;;3;0;0
2022;12;1;8.12;;;9.2;9.1;7.5;5.1;8.62;10.0;;3;0;0
2022;13;0;8.22;;;8.8;9.7;4.4;7.3;8.29;10.0;;3;0;0
2022;13;1;5.55;;;0.0;6.2;5.0;4.6;5.96;10.0;;3;0;0
2022;13;1;7.56;;;8.3;7.1;7.5;7.5;6.46;10.0;;3;0;0
2022;15;1;5.7;;;7.9;5.6;4.4;5.5;4.92;5.0;;5;-2;1
2022;15;0;7.08;;;7.9;7.3;7.5;6.5;7.54;5.0;;5;-2;1
2022;14;0;5.2;;;0.0;5.2;4.4;5.4;6.92;5.0;;4;-1;1
2022;14;0;5.67;;;8.8;4.3;7.5;2.8;6.88;5.0;;4;-1;1
2022;13;0;6.94;;;7.9;6.7;4.4;7.4;5.71;10.0;;3;0;0
2022;14;1;5.37;;;9.6;3.8;7.5;4.1;4.83;5.0;;4;-1;1
2022;12;0;7.1;;;8.3;8.8;7.5;5.0;5.17;10.0;;3;0;0
2022;16;1;4.94;;;0.0;4.8;7.5;5.8;5.71;2.5;;6;-3;1
2022;14;1;6.67;;;7.5;7.1;7.5;6.1;6.42;5.0;;4;-1;1
2022;14;1;4.5;;;0.0;4.8;5.6;6.0;3.75;5.0;;4;-1;1
2022;14;1;4.44;;;0.0;5.1;7.5;3.4;4.42;5.0;;4;-1;1
2022;13;1;8.46;;;9.2;8.8;7.5;7.6;8.46;10.0;;3;0;0
2022;14;1;7.27;;;9.6;8.4;7.5;6.2;6.96;5.0;;4;-1;1
2022;13;1;7.21;;;9.6;8.7;7.5;3.5;6.83;10.0;;3;0;0
2022;15;1;4.87;;;0.0;6.1;7.5;4.3;5.12;5.0;;5;-2;1
2022;13;0;7.17;;;6.7;5.8;7.5;7.8;6.54;10.0;;3;0;0
2022;13;0;7.5;;;7.9;8.5;7.5;7.0;5.58;10.0;;3;0;0
2022;15;0;7.4;;;7.9;8.5;7.5;7.1;7.29;5.0;;5;-2;1
2022;14;0;6.1;;;6.3;7.3;7.5;4.0;6.12;5.0;;4;-1;1
2022;16;1;5.94;;;8.8;6.9;7.5;3.5;6.38;2.5;;6;-3;1
2022;13;0;7.03;;;0.0;8.1;7.5;6.5;7.83;10.0;;3;0;0
2022;14;1;6.89;;;9.6;8.5;7.5;5.2;6.0;5.0;;4;-1;1
